Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-01 00:00:00 +01:00,2020-12-02 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-02 00:00:00 +01:00,2020-12-03 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.27436999,µg/m3,2020-12-03 00:00:00 +01:00,2020-12-04 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-04 00:00:00 +01:00,2020-12-05 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,6.76159,µg/m3,2020-12-05 00:00:00 +01:00,2020-12-06 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-06 00:00:00 +01:00,2020-12-07 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.43991,µg/m3,2020-12-07 00:00:00 +01:00,2020-12-08 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-08 00:00:00 +01:00,2020-12-09 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.4348,µg/m3,2020-12-09 00:00:00 +01:00,2020-12-10 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-10 00:00:00 +01:00,2020-12-11 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.29299999,µg/m3,2020-12-11 00:00:00 +01:00,2020-12-12 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-12 00:00:00 +01:00,2020-12-13 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.23629,µg/m3,2020-12-13 00:00:00 +01:00,2020-12-14 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-14 00:00:00 +01:00,2020-12-15 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.11499999,µg/m3,2020-12-15 00:00:00 +01:00,2020-12-16 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-16 00:00:00 +01:00,2020-12-17 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,11.32879999,µg/m3,2020-12-17 00:00:00 +01:00,2020-12-18 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-18 00:00:00 +01:00,2020-12-19 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,12.7452,µg/m3,2020-12-19 00:00:00 +01:00,2020-12-20 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-20 00:00:00 +01:00,2020-12-21 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.76030999,µg/m3,2020-12-21 00:00:00 +01:00,2020-12-22 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-22 00:00:00 +01:00,2020-12-23 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.4314,µg/m3,2020-12-23 00:00:00 +01:00,2020-12-24 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-24 00:00:00 +01:00,2020-12-25 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.43367,µg/m3,2020-12-25 00:00:00 +01:00,2020-12-26 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-26 00:00:00 +01:00,2020-12-27 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.43384,µg/m3,2020-12-27 00:00:00 +01:00,2020-12-28 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-28 00:00:00 +01:00,2020-12-29 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.43491,µg/m3,2020-12-29 00:00:00 +01:00,2020-12-30 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-30 00:00:00 +01:00,2020-12-31 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1983A,ES1983A,SP_08169009_9_M,SPP_08169009_9_M.1,SAM_08169009_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2020-12-31 00:00:00 +01:00,2021-01-01 00:00:00 +01:00,-1,1
